name,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,pose_7,pose_8,pose_9,pose_10,pose_11,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,identity_7,identity_8,identity_9,identity_10,identity_11,identity_12,identity_13,identity_14,identity_15,identity_16,identity_17,identity_18,identity_19,identity_20,identity_21,identity_22,identity_23,identity_24,identity_25,identity_26,identity_27,identity_28,identity_29,identity_30,identity_31,identity_32,identity_33,identity_34,identity_35,identity_36,identity_37,identity_38,identity_39,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
0_0,0.003223008243367076,-5.185950067243539e-05,0.00033349168370477855,1039.2574462890625,6.133355782367289e-05,0.00322887790389359,-2.7214749934501015e-05,550.6016235351562,-6.248604040592909e-05,1.2025891919620335e-05,0.0005877892253920436,-77.08441925048828,-282572.65625,225668.1875,131855.5625,-234644.84375,71959.5,-72077.5625,-33489.0234375,-1934.5205078125,-102977.328125,-15797.9375,-5678.763671875,32819.796875,-3067.05859375,4193.84765625,-15899.0703125,15343.650390625,3001.34228515625,22124.51171875,13309.2548828125,18329.421875,3829.5390625,-5890.62646484375,-34762.33984375,-11686.9609375,1036.9266357421875,-10017.232421875,-4431.8203125,-3311.614013671875,-15881.646484375,-5786.63671875,-9024.11328125,-47.4371337890625,2595.028564453125,-6119.27294921875,-11106.697265625,-2846.73095703125,-356.7557373046875,1865.0390625,-5478.47412109375,10850.36328125,-1.9628574848175049,-1.458147406578064,0.543895959854126,-0.3322383463382721,-0.005791475996375084,-0.12695220112800598,-0.14097756147384644,0.10926488041877747,0.03617837652564049,0.22933608293533325
1_0,0.003207937814295292,-6.186608516145498e-05,0.00036410836037248373,1037.4814453125,5.815405529574491e-05,0.0032328080851584673,-5.110066194902174e-05,552.9588623046875,-6.607209797948599e-05,1.496526601840742e-05,0.0005814381875097752,-77.06806945800781,-284052.875,195512.1875,144778.421875,-252208.515625,69882.8984375,-53931.20703125,-39649.82421875,3399.2646484375,-113380.921875,-18249.46875,-12004.2548828125,34252.8046875,-4092.7705078125,5877.2109375,-13818.744140625,11776.6025390625,5277.86865234375,18471.61328125,10166.1572265625,12474.302734375,1874.5615234375,-4555.81884765625,-32098.033203125,-11336.806640625,63.6585693359375,-10280.443359375,-4628.9091796875,-2487.744873046875,-14962.861328125,-5813.943359375,-8819.0791015625,872.011962890625,1815.72998046875,-3524.98291015625,-11125.052734375,-3678.4892578125,-846.26416015625,1576.75927734375,-3754.06494140625,10011.9287109375,-1.879784345626831,-1.3497964143753052,0.4631745219230652,-0.43262413144111633,-0.016586871817708015,-0.17790108919143677,-0.13928937911987305,0.1294640451669693,0.03011225163936615,0.19625070691108704
2_0,0.0032307731453329325,-5.8828711189562455e-05,0.000363595929229632,1036.2208251953125,6.745634163962677e-05,0.003238552249968052,-7.467995601473376e-05,554.8171997070312,-6.508680962724611e-05,2.207611578342039e-05,0.0005931659834459424,-77.00634765625,-302878.09375,220563.6875,123807.1875,-225497.171875,48753.01953125,-68127.7265625,-39846.25,678.5107421875,-110317.84375,-12120.24609375,-3374.654296875,42075.3515625,-9888.8232421875,2691.212890625,-24352.1796875,19023.982421875,3276.84228515625,19787.197265625,8575.5244140625,20108.025390625,1676.5498046875,-6690.09619140625,-33871.9609375,-14710.240234375,1737.110595703125,-11528.8095703125,-4222.2783203125,-3541.062255859375,-15642.8505859375,-4723.5673828125,-8932.974609375,-1282.2418212890625,2161.9052734375,-6663.46728515625,-10754.779296875,-2607.63916015625,-711.261474609375,2573.3740234375,-5945.3740234375,10741.837890625,-1.9366059303283691,-1.2453536987304688,0.4351518154144287,-0.299321711063385,-0.0043096113950014114,-0.11721780896186829,-0.14757364988327026,0.06062819063663483,0.029846232384443283,0.18824738264083862
3_0,0.003201361047104001,-6.987708911765367e-05,0.0003953622654080391,1036.0625,7.650646875845268e-05,0.003227075096219778,-6.191819556988776e-05,554.0532836914062,-7.257116521941498e-05,1.8961211026180536e-05,0.0005810081493109465,-76.93440246582031,-285170.0,233185.40625,112850.25,-240568.421875,51701.9375,-81724.640625,-36117.1796875,-4776.921875,-122130.0625,-22257.85546875,-6820.435546875,32296.05078125,-9609.55078125,10745.8125,-25391.228515625,18626.896484375,5434.14892578125,19030.9296875,8650.9853515625,15428.3427734375,-1393.926513671875,-9487.552734375,-32809.0625,-13055.9990234375,3184.88330078125,-11853.869140625,-3392.76171875,-3056.990478515625,-16545.759765625,-5101.7236328125,-9306.763671875,-1104.0328369140625,2013.3154296875,-5704.634765625,-9919.748046875,-2660.72998046875,9.6317138671875,2098.325927734375,-4378.224609375,10158.779296875,-1.7980892658233643,-1.0695080757141113,0.585543155670166,-0.4211428463459015,-0.03283582627773285,-0.13729259371757507,-0.1641157567501068,0.06890903413295746,0.036849331110715866,0.16494175791740417
4_0,0.003226309781894088,-7.754866237519309e-05,0.00039664533687755466,1034.7969970703125,8.176325354725122e-05,0.0032391001004725695,-6.0129721532575786e-05,552.5599975585938,-7.0813053753227e-05,1.743051689118147e-05,0.0005783369997516274,-76.82855224609375,-318551.90625,198432.53125,138440.828125,-238190.859375,52456.0546875,-73038.140625,-42902.8359375,-2313.20751953125,-115233.8515625,-18116.84765625,-5223.19140625,25969.5625,-15083.974609375,6406.3251953125,-20120.935546875,15450.728515625,-475.07080078125,17770.05859375,7060.7333984375,10003.73828125,-226.718505859375,-8568.455078125,-32210.564453125,-12356.0146484375,-987.0911865234375,-8035.150390625,-5079.2958984375,-2978.236572265625,-17026.76953125,-5254.8544921875,-8659.873046875,210.941650390625,2375.474609375,-2133.7724609375,-10638.6640625,-3392.81494140625,-34.5413818359375,2510.673828125,-3057.882080078125,8981.1083984375,-1.912919521331787,-1.1883244514465332,0.6061356663703918,-0.3389436900615692,-0.03805194050073624,-0.15327182412147522,-0.12767904996871948,0.08329759538173676,0.02713823691010475,0.16070300340652466
5_0,0.0032366930972784758,-5.238470112089999e-05,0.0003642017545644194,1036.8341064453125,5.823285391670652e-05,0.0032469304278492928,-3.689629375003278e-05,552.0128173828125,-6.576285522896796e-05,1.4708701201016083e-05,0.0005811177543364465,-76.9797134399414,-282213.46875,187086.4375,129037.734375,-264705.3125,60380.41015625,-50294.9140625,-36820.5,-1764.74951171875,-115571.53125,-24072.640625,-11877.513671875,29828.953125,-10884.5546875,1655.513671875,-7337.0244140625,7120.74072265625,-365.31396484375,16659.974609375,13358.6181640625,6051.2490234375,3892.64990234375,-5149.04052734375,-33337.5234375,-8916.2021484375,-5123.240234375,-7801.443359375,-6464.365234375,-2576.18310546875,-15699.345703125,-7477.091796875,-9275.619140625,2806.49169921875,2421.118896484375,-1014.4710693359375,-11782.431640625,-4199.96337890625,-489.7220458984375,1539.67333984375,-2370.5283203125,9152.623046875,-2.0633373260498047,-1.319258213043213,0.4998309016227722,-0.4232378304004669,-0.022225117310881615,-0.17148295044898987,-0.06411337107419968,0.132137730717659,0.029754824936389923,0.1780303716659546
6_0,0.003203720087185502,-7.448712858604267e-05,0.00037837037234567106,1036.6539306640625,5.729312397306785e-05,0.0032263558823615313,-1.671694371907506e-05,548.9466552734375,-6.916927668498829e-05,9.165105439024046e-06,0.0005806477274745703,-76.9928207397461,-265321.59375,216547.9375,117672.90625,-281522.03125,46211.484375,-73143.546875,-34866.27734375,-3616.774658203125,-133896.09375,-24730.84375,-13104.3837890625,40169.86328125,-8541.5888671875,7670.580078125,-20072.00390625,14453.890625,4435.36767578125,16505.548828125,12350.8017578125,14714.427734375,-151.015625,-6329.55322265625,-34952.55859375,-12613.265625,775.1265869140625,-12895.0546875,-3950.0703125,-3356.347412109375,-15892.494140625,-5834.185546875,-9983.912109375,542.0810546875,2521.16943359375,-5025.67919921875,-11153.640625,-3131.90771484375,-753.532958984375,1634.1015625,-4262.85791015625,10660.673828125,-2.1228461265563965,-1.028246521949768,0.43302208185195923,-0.4456847608089447,-0.023629317060112953,-0.14710043370723724,-0.11739930510520935,0.07831810414791107,0.030166145414114,0.16662997007369995
7_0,0.0032486021518707275,-5.773419252363965e-05,0.00036624373751692474,1038.99560546875,7.80385234975256e-05,0.0032546347938477993,-0.00010918501357082278,557.5624389648438,-6.547268276335672e-05,2.8132972147432156e-05,0.0005984222516417503,-77.0656967163086,-279400.0,169436.1875,126420.953125,-216634.59375,60639.12890625,-49962.14453125,-34255.0234375,-1128.49169921875,-105654.2578125,-21183.421875,-13597.2275390625,27370.87890625,-7502.71044921875,3522.3056640625,-12113.2041015625,11186.90625,3760.34521484375,18636.927734375,9428.8330078125,6727.958984375,2107.53857421875,-6249.57080078125,-29255.11328125,-10593.896484375,-1071.6624755859375,-8203.4326171875,-5828.19091796875,-1002.426513671875,-15181.001953125,-5661.91796875,-8362.0283203125,1536.8289794921875,848.505859375,-1777.0579833984375,-10607.912109375,-4487.3779296875,-221.43603515625,2035.119384765625,-2945.220703125,8845.4716796875,-1.721399188041687,-1.3038133382797241,0.5087023973464966,-0.3949963450431824,-0.02198881097137928,-0.19131112098693848,-0.10992065072059631,0.12036070227622986,0.023918144404888153,0.1660192608833313
8_0,0.003231861162930727,-5.650732055073604e-05,0.00039232539711520076,1035.149169921875,7.687124161748216e-05,0.003237472614273429,-6.170543929329142e-05,554.2003784179688,-6.984754872974008e-05,1.890611383714713e-05,0.0005848160944879055,-76.96171569824219,-276501.875,209076.46875,128733.765625,-245515.953125,57178.94921875,-53789.5,-41713.50390625,-1354.865234375,-108932.203125,-19513.87890625,-1263.5546875,33166.3671875,-11999.345703125,2095.1171875,-14240.9814453125,12785.22265625,-344.9599609375,19684.259765625,11439.8017578125,11151.693359375,4365.52392578125,-5992.83251953125,-34643.58984375,-10660.041015625,-3567.12451171875,-8256.068359375,-5651.6728515625,-3644.798095703125,-16309.9296875,-6859.5380859375,-9122.302734375,1049.0726318359375,2682.980712890625,-3216.95703125,-11430.3955078125,-3249.9775390625,-371.4544677734375,1968.47509765625,-3674.489990234375,9747.0244140625,-2.0048255920410156,-1.3712881803512573,0.5694877505302429,-0.3654603064060211,-0.01881222613155842,-0.13389304280281067,-0.09480598568916321,0.11426933109760284,0.03176034986972809,0.19778746366500854
9_0,0.003226651344448328,-4.760668525705114e-05,0.00039037366514094174,1035.445068359375,4.900195563095622e-05,0.0032453236635774374,-5.1044244173681363e-05,552.7405395507812,-7.026659295661375e-05,1.6818477888591588e-05,0.0005881914985366166,-76.91632080078125,-305851.65625,202158.34375,127024.484375,-225195.9375,59206.19140625,-68520.3125,-40312.16015625,-1530.11865234375,-109977.2109375,-17293.890625,-4980.56640625,30160.9609375,-10080.724609375,1971.3603515625,-18815.068359375,15574.11328125,-586.28076171875,20169.85546875,11393.9189453125,14546.10546875,4027.5966796875,-6712.1279296875,-34458.26171875,-12718.34765625,-1145.3524169921875,-9415.6435546875,-5243.3935546875,-3342.427001953125,-16533.220703125,-5888.2978515625,-9029.05078125,457.8797607421875,2582.358642578125,-4737.08642578125,-10930.8857421875,-3168.60791015625,69.438232421875,2428.629150390625,-4533.0068359375,10031.625,-2.021732807159424,-1.2578550577163696,0.5493133068084717,-0.3277435600757599,-0.01898878626525402,-0.1363580971956253,-0.11126019060611725,0.08164365589618683,0.030971098691225052,0.1866929829120636
