name,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,pose_7,pose_8,pose_9,pose_10,pose_11,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,identity_7,identity_8,identity_9,identity_10,identity_11,identity_12,identity_13,identity_14,identity_15,identity_16,identity_17,identity_18,identity_19,identity_20,identity_21,identity_22,identity_23,identity_24,identity_25,identity_26,identity_27,identity_28,identity_29,identity_30,identity_31,identity_32,identity_33,identity_34,identity_35,identity_36,identity_37,identity_38,identity_39,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
0_0,0.00150017358828336,-6.94115660735406e-05,2.4668550395290367e-05,299.6910095214844,7.256136450450867e-05,0.0014917657244950533,-0.00012893931125290692,230.04945373535156,-7.875553819758352e-06,6.365235458360985e-05,0.0005778763443231583,-77.19286346435547,-311011.25,184724.125,263786.09375,-282185.84375,222208.96875,-76441.8671875,-81803.375,49736.5625,-102968.859375,27077.0234375,-8852.123046875,-14789.103515625,14130.1259765625,29124.236328125,-17655.576171875,-6147.8642578125,-20629.376953125,2664.62451171875,-20722.83984375,4411.27197265625,-12756.615234375,-8531.4931640625,-27696.986328125,-22941.828125,-16632.673828125,-1444.70361328125,1384.3603515625,-2449.418212890625,-6999.369140625,-7050.3330078125,-4060.1474609375,-1286.437744140625,6260.06201171875,-4594.16943359375,-10385.720703125,-5188.642578125,4668.828125,-2236.08544921875,2917.3525390625,8895.1904296875,-1.7164216041564941,-1.3385790586471558,0.9331501722335815,-0.7621825933456421,-0.04452456533908844,-0.27872371673583984,-0.30937057733535767,0.1873646229505539,0.07627257704734802,0.27986791729927063
1_0,0.0014981133863329887,-6.630034476984292e-05,-8.489711945003364e-06,303.54888916015625,6.278521323110908e-05,0.001495921052992344,-0.0001418625033693388,230.8300323486328,4.423793598107295e-06,6.54913455946371e-05,0.0005755440215580165,-77.20758819580078,-280455.09375,157437.046875,269691.0,-276134.75,228617.015625,-65804.3828125,-85405.4375,63880.2421875,-88902.234375,46022.01171875,-18077.17578125,-4558.423828125,7694.9521484375,20297.232421875,-15394.865234375,-12367.1259765625,-26517.103515625,-4137.34765625,-28142.66015625,909.17919921875,-13435.810546875,-5319.76416015625,-26122.041015625,-24647.880859375,-22790.419921875,1910.2138671875,-251.6396484375,-3105.263916015625,-3357.759765625,-7235.36328125,-2564.8603515625,-868.1856689453125,6547.06103515625,-4556.81689453125,-10583.3720703125,-6144.76220703125,4280.85986328125,-2409.85791015625,2999.96484375,8764.177734375,-1.64716637134552,-1.3629393577575684,0.6433719992637634,-0.7443975806236267,-0.019978074356913567,-0.27064216136932373,-0.27276355028152466,0.20285232365131378,0.065440334379673,0.2718922197818756
2_0,0.0014906658325344324,-6.614298763452098e-05,1.5641096979379654e-05,299.5637512207031,6.970839604036883e-05,0.0014833746245130897,-0.00015179059118963778,230.72354125976562,-3.2890884540393017e-06,6.90234883222729e-05,0.0005736379534937441,-77.23693084716797,-265074.09375,175317.59375,248411.171875,-278249.65625,224292.671875,-77440.0625,-71410.3671875,53735.0078125,-90050.59375,35167.359375,-19264.705078125,-7883.259765625,9099.2119140625,25920.353515625,-11750.1708984375,-12562.2412109375,-21979.4609375,-2827.302734375,-23591.8125,-2044.419921875,-14308.357421875,-8011.29931640625,-24210.787109375,-21508.9375,-19540.84765625,1470.77392578125,303.767578125,-1763.8685302734375,-4087.83837890625,-6431.6142578125,-2984.553466796875,-436.782958984375,5648.99365234375,-3687.87109375,-10006.8291015625,-6254.07861328125,4430.859375,-2644.79052734375,3465.48876953125,8223.2578125,-1.5080995559692383,-1.3251965045928955,0.71617192029953,-0.7646541595458984,-0.033542200922966,-0.26171883940696716,-0.2793605625629425,0.19675354659557343,0.06620952486991882,0.2620134949684143
3_0,0.001500271144323051,-6.732402107445523e-05,7.81041308073327e-06,298.9137268066406,6.980037869652733e-05,0.0014925424475222826,-0.00014204638137016445,231.1706085205078,-1.997591880353866e-06,6.607749674003571e-05,0.000573699944652617,-77.26542663574219,-332347.78125,185341.21875,275167.875,-266192.0625,223859.171875,-69605.140625,-85377.4921875,54372.7265625,-97097.6328125,36120.73046875,-10198.603515625,-6982.841796875,14019.9150390625,25473.40625,-20664.18359375,-4689.7705078125,-18711.890625,2033.779541015625,-24994.71484375,6472.02685546875,-12694.3984375,-6321.91162109375,-26516.703125,-24528.310546875,-16045.1025390625,-1308.90478515625,1129.6962890625,-2640.083251953125,-5539.685546875,-6370.4365234375,-3612.367919921875,-2281.839599609375,5784.125,-5762.10888671875,-10232.4609375,-5134.54736328125,4035.4951171875,-1977.4404296875,2174.13525390625,9105.294921875,-1.596523642539978,-1.4425568580627441,0.7845913171768188,-0.7537354826927185,-0.030626090243458748,-0.2742863893508911,-0.330761194229126,0.19566000998020172,0.07019742578268051,0.28426042199134827
4_0,0.001496859360486269,-6.523822230519727e-05,1.1226652532059234e-06,298.4476013183594,6.204654346220195e-05,0.0014885679120197892,-0.00013815621787216514,231.8817901611328,1.1046608960896265e-07,6.416830001398921e-05,0.0005731388228014112,-77.22640228271484,-314513.53125,176553.28125,277289.15625,-287848.25,216239.078125,-64987.02734375,-84352.8046875,55546.0625,-98781.3125,31051.8359375,-11328.30859375,-5532.396484375,10627.8154296875,25607.703125,-14870.6025390625,-9035.9091796875,-19263.236328125,-240.3388671875,-22854.9453125,2686.862060546875,-13302.607421875,-5833.02099609375,-26948.7421875,-22265.720703125,-18287.20703125,-1060.677734375,401.228515625,-2734.77197265625,-5517.3076171875,-6841.3544921875,-3772.22412109375,-909.7378540039062,5708.16064453125,-3276.1484375,-10632.349609375,-5633.869140625,3584.54736328125,-2252.20361328125,3143.6455078125,8668.4482421875,-1.6111714839935303,-1.4040218591690063,0.7625949382781982,-0.7744334936141968,-0.033893927931785583,-0.2772372364997864,-0.2992900013923645,0.21043111383914948,0.06975127011537552,0.27367520332336426
5_0,0.0014941826229915023,-7.234746590256691e-05,3.768865099118557e-06,299.92047119140625,6.593030411750078e-05,0.0014886186691001058,-0.0001213051873492077,230.144775390625,2.781785042316187e-07,5.796730692964047e-05,0.0005738568725064397,-77.1892318725586,-303801.125,161518.28125,272546.3125,-284124.3125,222785.40625,-60904.80078125,-78457.578125,55055.96875,-92031.1796875,29938.861328125,-12531.7080078125,-8405.728515625,12337.1025390625,26112.447265625,-8612.900390625,-11834.4130859375,-20247.1875,-135.74853515625,-19867.228515625,1855.078125,-12791.302734375,-6131.1015625,-25579.177734375,-20850.978515625,-18217.693359375,-100.82666015625,201.82421875,-1477.328125,-5132.5732421875,-6596.9853515625,-3292.85595703125,37.368896484375,5501.66162109375,-2451.09423828125,-10508.33203125,-6133.0908203125,3716.025146484375,-2507.47802734375,3234.01806640625,8529.001953125,-1.609378457069397,-1.425768494606018,0.7634729146957397,-0.7479050755500793,-0.032924942672252655,-0.28253209590911865,-0.28819161653518677,0.22393853962421417,0.0657995343208313,0.2838548421859741
6_0,0.0014893262414261699,-6.596084858756512e-05,1.4625953781433054e-06,299.4385070800781,6.344475696096197e-05,0.0014857999049127102,-0.0001198888712679036,228.78488159179688,1.3028046623730916e-06,5.666328434017487e-05,0.000574891222640872,-77.19075775146484,-304666.0625,169407.25,282438.25,-269306.0625,232039.84375,-73795.8125,-76625.34375,58352.671875,-91750.5234375,36141.2265625,-20170.57421875,-8044.423828125,14337.7724609375,28134.201171875,-12567.197265625,-9837.9306640625,-18209.240234375,-416.45166015625,-22000.0859375,4970.27685546875,-16060.048828125,-6771.07177734375,-24060.8671875,-22759.9765625,-15095.5654296875,-834.89599609375,867.4931640625,-1055.02490234375,-4450.76806640625,-4871.6171875,-2777.10888671875,-1451.1336669921875,5197.56884765625,-4304.77587890625,-10005.65234375,-6110.96728515625,3627.692626953125,-2375.82958984375,2373.576171875,8914.1611328125,-1.5479419231414795,-1.376426100730896,0.6978573203086853,-0.728758692741394,-0.03004324994981289,-0.28252819180488586,-0.3301321566104889,0.18944473564624786,0.06456455588340759,0.27942994236946106
7_0,0.0015063579194247723,-6.577614112757146e-05,1.5035905562399421e-05,296.71527099609375,6.119644967839122e-05,0.001496867393143475,-0.00014449568698182702,231.51028442382812,-5.093112122267485e-06,6.518037844216451e-05,0.0005777885671705008,-77.1150894165039,-303913.46875,161794.0625,277063.25,-272038.125,213627.453125,-57632.3203125,-83841.8984375,52520.4609375,-91634.125,33438.99609375,-5908.8671875,-6714.259765625,10780.8662109375,22408.412109375,-12950.7314453125,-8022.5068359375,-22183.060546875,1625.705322265625,-21251.810546875,4028.241455078125,-11004.4267578125,-6346.6337890625,-26966.177734375,-22639.095703125,-18752.935546875,59.86865234375,-234.662109375,-2693.49560546875,-6273.80859375,-6631.5283203125,-3423.72216796875,-602.114501953125,5924.076171875,-2700.71435546875,-10825.43359375,-5756.0068359375,3669.90966796875,-1769.3173828125,2719.84521484375,8380.642578125,-1.6609821319580078,-1.4400955438613892,0.7781336307525635,-0.6744176745414734,-0.029499275609850883,-0.2690058648586273,-0.27891993522644043,0.20391027629375458,0.06621209532022476,0.27779194712638855
8_0,0.0014964478323236108,-6.254295294638723e-05,2.0541701815091074e-05,296.21258544921875,5.8262579841539264e-05,0.0014898014487698674,-0.0001289237552555278,228.95263671875,-6.837918590463232e-06,5.869496089871973e-05,0.000574544828850776,-77.14998626708984,-290874.53125,151377.5625,274061.34375,-290208.5,212319.96875,-56676.109375,-82924.0,52130.6875,-101772.09375,25525.919921875,-10641.337890625,-5454.650390625,12123.8681640625,21746.11328125,-10075.7490234375,-10091.4638671875,-20877.8359375,468.867431640625,-18543.94921875,1564.4150390625,-10395.87890625,-5272.81884765625,-27876.541015625,-21203.419921875,-19416.80078125,-1217.02734375,-621.7255859375,-2822.88916015625,-6523.65625,-7251.990234375,-4118.83544921875,369.6177978515625,5901.71484375,-1685.1898193359375,-11363.8525390625,-6040.0185546875,3390.66357421875,-1945.56640625,3346.85302734375,8325.603515625,-1.7841391563415527,-1.3496118783950806,0.733470618724823,-0.7287052869796753,-0.03255516290664673,-0.28106746077537537,-0.25379401445388794,0.2012765258550644,0.065840944647789,0.2619660198688507
9_0,0.0014967031311243773,-6.529404345201328e-05,-1.6047701478782983e-07,298.0453796386719,5.9655656514223665e-05,0.001496078330092132,-0.00014387728879228234,230.19863891601562,2.825944193318719e-06,6.516653229482472e-05,0.0005780538194812834,-77.17862701416016,-342782.875,158597.53125,280767.90625,-271338.1875,212674.53125,-62880.12109375,-80087.8125,57207.0859375,-97733.8203125,27656.91796875,-18490.16015625,-7988.400390625,11946.0107421875,26978.845703125,-10866.64453125,-9683.1806640625,-16676.6328125,-431.24462890625,-22476.37890625,1882.76904296875,-14618.3671875,-6162.4853515625,-23528.45703125,-21573.478515625,-15764.9677734375,-1290.18994140625,41.18359375,-1000.6697998046875,-5362.3623046875,-5374.404296875,-3238.470458984375,-393.90283203125,4911.93310546875,-1656.5914306640625,-10175.79296875,-6386.33349609375,3199.18603515625,-2038.18603515625,3361.46435546875,8006.98388671875,-1.5243351459503174,-1.3260585069656372,0.6913069486618042,-0.7540490031242371,-0.03643237054347992,-0.3003246784210205,-0.30775630474090576,0.19986294209957123,0.06064171716570854,0.25127431750297546
10_0,0.0014867254067212343,-8.263345080194995e-05,-2.2491640265798196e-05,298.3841857910156,7.695387466810644e-05,0.0014833257300779223,-0.0001461057981941849,229.85952758789062,1.1428382094891276e-05,6.28226698609069e-05,0.0005766017129644752,-77.26687622070312,-334527.65625,178472.46875,288893.28125,-279763.46875,216080.875,-61873.46484375,-83387.484375,51100.7265625,-115542.375,31083.515625,-17242.55078125,247.69140625,21167.203125,22889.236328125,-19264.52734375,-2380.8515625,-12267.455078125,3221.65234375,-20800.0703125,9978.951171875,-11598.576171875,-4818.859375,-26090.341796875,-25222.45703125,-9603.4951171875,-5344.3720703125,1361.1474609375,-1570.156982421875,-6130.6904296875,-4559.017578125,-4035.99462890625,-2354.75537109375,5217.70654296875,-5155.470703125,-11653.716796875,-5146.06396484375,2509.170166015625,-1175.408203125,1171.2120361328125,9304.9365234375,-1.9630963802337646,-1.4301294088363647,0.6543529629707336,-0.6502630114555359,-0.010873747989535332,-0.3027089536190033,-0.3539988696575165,0.14256082475185394,0.05985305830836296,0.272674560546875
11_0,0.0014842015225440264,-7.883650687290356e-05,-1.775630153133534e-05,297.1748352050781,7.552249007858336e-05,0.0014775299932807684,-0.0001549107109894976,230.87588500976562,9.680787115939893e-06,6.764003774151206e-05,0.000574723759200424,-77.2509765625,-264080.0625,168232.0,277487.09375,-265650.5,216143.5,-69514.921875,-75404.3671875,53877.7890625,-99410.765625,37643.65625,-17740.30078125,1386.15234375,17239.0546875,21591.494140625,-18875.46484375,-4847.5205078125,-16140.85546875,1614.0986328125,-21677.05078125,9439.25390625,-12842.6875,-4932.97412109375,-25307.298828125,-24426.669921875,-13256.5048828125,-3070.26025390625,828.93359375,-2444.23486328125,-5144.48291015625,-4428.9130859375,-3277.94287109375,-2481.38671875,5056.2158203125,-5604.087890625,-11002.150390625,-5625.36328125,2822.159423828125,-1382.7763671875,1045.2847900390625,9109.416015625,-1.7027969360351562,-1.3477545976638794,0.6065625548362732,-0.650068461894989,-0.012267498299479485,-0.26412883400917053,-0.3204277753829956,0.15307922661304474,0.05864633247256279,0.2672762870788574
