name,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,pose_7,pose_8,pose_9,pose_10,pose_11,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,identity_7,identity_8,identity_9,identity_10,identity_11,identity_12,identity_13,identity_14,identity_15,identity_16,identity_17,identity_18,identity_19,identity_20,identity_21,identity_22,identity_23,identity_24,identity_25,identity_26,identity_27,identity_28,identity_29,identity_30,identity_31,identity_32,identity_33,identity_34,identity_35,identity_36,identity_37,identity_38,identity_39,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
0_0,0.003223008243367076,-5.185950067243539e-05,0.00033349168370477855,1039.2574462890625,6.133355782367289e-05,0.00322887790389359,-2.7214749934501015e-05,550.6016235351562,-6.248604040592909e-05,1.2025891919620335e-05,0.0005877892253920436,-77.08441925048828,-282572.65625,225668.1875,131855.5625,-234644.84375,71959.5,-72077.5625,-33489.0234375,-1934.5205078125,-102977.328125,-15797.9375,-5678.763671875,32819.796875,-3067.05859375,4193.84765625,-15899.0703125,15343.650390625,3001.34228515625,22124.51171875,13309.2548828125,18329.421875,3829.5390625,-5890.62646484375,-34762.33984375,-11686.9609375,1036.9266357421875,-10017.232421875,-4431.8203125,-3311.614013671875,-15881.646484375,-5786.63671875,-9024.11328125,-47.4371337890625,2595.028564453125,-6119.27294921875,-11106.697265625,-2846.73095703125,-356.7557373046875,1865.0390625,-5478.47412109375,10850.36328125,-1.9628574848175049,-1.458147406578064,0.543895959854126,-0.3322383463382721,-0.005791475996375084,-0.12695220112800598,-0.14097756147384644,0.10926488041877747,0.03617837652564049,0.22933608293533325
1_0,0.0032203984446823597,-5.359234637580812e-05,0.00033879358670674264,1038.949951171875,6.078296064515598e-05,0.0032295584678649902,-3.135109000140801e-05,551.0098266601562,-6.310704338829964e-05,1.2534905181382783e-05,0.0005866893916390836,-77.08158874511719,-282829.0,220446.046875,134093.421875,-237686.359375,71599.890625,-68935.1484375,-34555.89453125,-1010.8651123046875,-104778.9296875,-16222.470703125,-6774.1533203125,33067.953125,-3244.681884765625,4485.35693359375,-15538.818359375,14725.9423828125,3395.570068359375,21491.9375,12764.9619140625,17315.486328125,3490.994140625,-5659.47705078125,-34300.9609375,-11626.32421875,868.3851318359375,-10062.8125,-4465.9501953125,-3168.944091796875,-15722.5400390625,-5791.365234375,-8988.607421875,111.78453063964844,2460.076904296875,-5670.01806640625,-11109.8759765625,-2990.76708984375,-441.5242614746094,1815.117431640625,-5179.85693359375,10705.1708984375,-1.9484716653823853,-1.4393842220306396,0.5299173593521118,-0.3496222198009491,-0.007660922594368458,-0.13577505946159363,-0.14068521559238434,0.11276278644800186,0.035127900540828705,0.2236066609621048
2_0,0.003222194965928793,-5.449913442134857e-05,0.00034308864269405603,1038.477294921875,6.193859735503793e-05,0.003231115872040391,-3.885438127326779e-05,551.6691284179688,-6.344987923512235e-05,1.418716328771552e-05,0.0005878109368495643,-77.06855773925781,-286300.90625,220466.421875,132312.15625,-235575.546875,67643.484375,-68795.3203125,-35472.02734375,-718.3146362304688,-105738.1015625,-15512.0859375,-6185.4599609375,34627.76953125,-4395.25244140625,4174.66357421875,-17065.03515625,15470.2373046875,3375.009765625,21196.7265625,12039.474609375,17799.072265625,3176.78564453125,-5837.9501953125,-34226.66796875,-12160.3681640625,1018.8229370117188,-10316.6806640625,-4423.75341796875,-3233.384033203125,-15708.740234375,-5606.4541015625,-8978.9736328125,-129.62002563476562,2408.4423828125,-5842.05419921875,-11048.3837890625,-2924.420654296875,-488.23486328125,1946.42529296875,-5312.421875,10711.5205078125,-1.9464168548583984,-1.405783772468567,0.5135067701339722,-0.3409116566181183,-0.0070805735886096954,-0.13256148993968964,-0.14187809824943542,0.10373459756374359,0.034213270992040634,0.21748347580432892
3_0,0.0032185872551053762,-5.716214582207613e-05,0.0003521408943925053,1038.05908203125,6.446132465498522e-05,0.003230416215956211,-4.284835813450627e-05,552.08203125,-6.502941687358543e-05,1.5013888514658902e-05,0.0005866329302079976,-77.04532623291016,-286105.0625,222668.984375,128941.9140625,-236440.171875,64882.875,-71034.3046875,-35583.75,-1421.1466064453125,-108576.7109375,-16680.255859375,-6295.4189453125,34223.984375,-5298.21630859375,5312.59423828125,-18506.888671875,16016.8779296875,3731.592529296875,20821.673828125,11452.6875,17388.53125,2385.27197265625,-6469.9541015625,-33981.18359375,-12315.4658203125,1393.921142578125,-10582.876953125,-4245.2158203125,-3202.837890625,-15853.6875,-5519.04931640625,-9035.7373046875,-298.35980224609375,2340.017822265625,-5818.25732421875,-10852.9365234375,-2878.757080078125,-402.0189514160156,1972.72998046875,-5150.646484375,10615.8017578125,-1.9207308292388916,-1.347550630569458,0.5259813666343689,-0.3548053503036499,-0.011540628969669342,-0.13338077068328857,-0.14572900533676147,0.09770382940769196,0.03466976061463356,0.20838478207588196
4_0,0.003219924634322524,-6.0692491388181224e-05,0.0003598477633204311,1037.4942626953125,6.745751306880265e-05,0.0032319200690835714,-4.584098496707156e-05,552.164794921875,-6.603097426705062e-05,1.5432378859259188e-05,0.0005851963069289923,-77.0077896118164,-291723.90625,218471.9375,130586.8515625,-236743.328125,62730.9140625,-71381.3125,-36851.203125,-1575.62548828125,-109729.53125,-16929.03125,-6109.74072265625,32794.55859375,-6992.8232421875,5501.99658203125,-18786.39453125,15918.8369140625,3003.12158203125,20293.22265625,10692.1298828125,16109.701171875,1932.9517822265625,-6833.35302734375,-33674.5625,-12322.4873046875,981.5995483398438,-10141.6845703125,-4389.654296875,-3163.943359375,-16056.8310546875,-5473.298828125,-8970.6484375,-210.1636962890625,2346.157958984375,-5180.21240234375,-10815.8310546875,-2967.77685546875,-338.3825988769531,2065.88623046875,-4788.24072265625,10332.720703125,-1.9193781614303589,-1.3199774026870728,0.5398617386817932,-0.3520585596561432,-0.016131611540913582,-0.1368253231048584,-0.14260327816009521,0.09520909190177917,0.03336552157998085,0.20012769103050232
5_0,0.0032228282652795315,-5.925382720306516e-05,0.0003606017562560737,1037.3798828125,6.586006929865107e-05,0.0032345193903893232,-4.429202454048209e-05,552.1384887695312,-6.598454638151452e-05,1.5307057765312493e-05,0.0005844900151714683,-77.0029296875,-290076.96875,213036.890625,130318.5859375,-241585.53125,62323.875,-67729.765625,-36845.8828125,-1608.376220703125,-110741.1953125,-18166.095703125,-7108.5498046875,32281.00390625,-7666.75732421875,4835.8984375,-16803.697265625,14395.2646484375,2419.80712890625,19664.05078125,11153.8876953125,14367.8720703125,2272.314208984375,-6541.6796875,-33616.19921875,-11732.6181640625,-75.5799560546875,-9736.423828125,-4748.93310546875,-3062.16064453125,-15994.9248046875,-5820.296875,-9023.4599609375,312.2326965332031,2359.138916015625,-4458.828125,-10983.2177734375,-3181.155517578125,-364.59014892578125,1974.761474609375,-4369.56396484375,10128.3623046875,-1.9443076848983765,-1.3198528289794922,0.532929539680481,-0.3643847405910492,-0.017186827957630157,-0.14282700419425964,-0.1290111243724823,0.10160405188798904,0.03274025395512581,0.19630108773708344
6_0,0.0032195192761719227,-6.189179111970589e-05,0.0003636787587311119,1037.254150390625,6.437652336899191e-05,0.003233105642721057,-3.9516828110208735e-05,551.5857543945312,-6.65360494167544e-05,1.4243451914808247e-05,0.0005838246433995664,-77.00117492675781,-285790.0625,213644.890625,128128.7265625,-248501.359375,59533.6796875,-68667.2734375,-36503.07421875,-1956.1719970703125,-114750.9453125,-19302.91796875,-8146.85302734375,33647.125,-7818.25244140625,5326.7822265625,-17369.673828125,14405.4169921875,2768.84326171875,19117.08984375,11361.158203125,14427.8857421875,1852.664306640625,-6504.9453125,-33847.6171875,-11885.12109375,71.73750305175781,-10283.40625,-4610.59375,-3113.105224609375,-15977.1865234375,-5822.7021484375,-9189.7822265625,352.03570556640625,2387.197998046875,-4556.98974609375,-11012.73046875,-3172.627197265625,-431.94366455078125,1915.7691650390625,-4351.08544921875,10220.54296875,-1.9752253293991089,-1.2693551778793335,0.5156285166740417,-0.3784635066986084,-0.01830247975885868,-0.1435670405626297,-0.12700030207633972,0.09757160395383835,0.03229449316859245,0.19116291403770447
7_0,0.0032245556358247995,-6.117181328590959e-05,0.00036412294139154255,1037.5557861328125,6.674238102277741e-05,0.0032368339598178864,-5.158131898497231e-05,552.6207275390625,-6.635190220549703e-05,1.664870978856925e-05,0.0005863525439053774,-77.0123519897461,-284683.5,205989.25,127832.9921875,-242982.96875,59725.11328125,-65428.08984375,-36113.77734375,-1812.842041015625,-113175.6640625,-19628.56640625,-9090.6982421875,32560.26171875,-7763.60986328125,5014.2998046875,-16459.40625,13848.0654296875,2940.542236328125,19033.94140625,11026.5361328125,13094.4833984375,1896.8011474609375,-6460.72216796875,-33052.328125,-11661.5185546875,-126.2658920288086,-9923.2158203125,-4821.44580078125,-2747.597412109375,-15839.310546875,-5794.85888671875,-9046.439453125,557.2072143554688,2120.741455078125,-4075.587158203125,-10942.6279296875,-3400.303466796875,-395.4898986816406,1936.4371337890625,-4107.630859375,9982.4208984375,-1.9312700033187866,-1.2753223180770874,0.5144290924072266,-0.3813265264034271,-0.018940843641757965,-0.15183492004871368,-0.12404260784387589,0.10151801258325577,0.030843954533338547,0.186808779835701
8_0,0.0032258208375424147,-6.03640619374346e-05,0.00036900676786899567,1037.1390380859375,6.849640340078622e-05,0.003236944554373622,-5.333451917977072e-05,552.894287109375,-6.695724732708186e-05,1.7039626982295886e-05,0.0005860864766873419,-77.00357818603516,-283266.6875,206523.859375,127988.9765625,-243421.609375,59284.19140625,-63412.62890625,-37083.48828125,-1733.5338134765625,-112440.8203125,-19608.705078125,-7735.26611328125,32665.220703125,-8497.115234375,4508.78271484375,-16075.240234375,13664.01171875,2371.589599609375,19146.556640625,11098.1015625,12758.048828125,2324.3115234375,-6379.697265625,-33327.890625,-11488.091796875,-722.121826171875,-9634.5146484375,-4965.216796875,-2902.96630859375,-15920.80859375,-5979.23046875,-9059.5771484375,642.3839111328125,2218.10498046875,-3926.8974609375,-11027.0947265625,-3374.271484375,-391.3276672363281,1941.985107421875,-4032.62353515625,9941.6572265625,-1.9440077543258667,-1.2919408082962036,0.5239636301994324,-0.37857896089553833,-0.01891857013106346,-0.1487279087305069,-0.11897967755794525,0.10372616350650787,0.031002648174762726,0.18870995938777924
9_0,0.003225964494049549,-5.815485565108247e-05,0.0003727068833541125,1036.845703125,6.512054096674547e-05,0.003238395554944873,-5.293791036820039e-05,552.86767578125,-6.75303308526054e-05,1.700132997939363e-05,0.0005864509730599821,-76.98847198486328,-287177.75,205767.875,127821.953125,-240265.453125,59270.68359375,-64297.12890625,-37642.59765625,-1698.3082275390625,-112014.1953125,-19207.84765625,-7258.23291015625,32231.556640625,-8771.349609375,4069.37548828125,-16549.697265625,13994.78515625,1859.373046875,19323.76171875,11149.328125,13067.6884765625,2619.270751953125,-6437.2646484375,-33523.63671875,-11701.1357421875,-795.4130249023438,-9596.6123046875,-5013.38916015625,-2979.068115234375,-16026.8603515625,-5963.4833984375,-9054.291015625,610.4331665039062,2281.182861328125,-4067.198486328125,-11010.4345703125,-3338.656494140625,-311.5364990234375,2026.2576904296875,-4119.275390625,9957.2373046875,-1.9574674367904663,-1.2860381603240967,0.5283534526824951,-0.3697757422924042,-0.01893072947859764,-0.14658582210540771,-0.11764288693666458,0.09990212321281433,0.03099718503654003,0.18836067616939545
