name,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,pose_7,pose_8,pose_9,pose_10,pose_11,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,identity_7,identity_8,identity_9,identity_10,identity_11,identity_12,identity_13,identity_14,identity_15,identity_16,identity_17,identity_18,identity_19,identity_20,identity_21,identity_22,identity_23,identity_24,identity_25,identity_26,identity_27,identity_28,identity_29,identity_30,identity_31,identity_32,identity_33,identity_34,identity_35,identity_36,identity_37,identity_38,identity_39,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
0_0,0.0030070296488702297,-5.3292886150302365e-05,0.00022810390510130674,1019.2237548828125,5.6001637858571485e-05,0.003050391096621752,-0.00011135023669339716,606.9486694335938,-4.430319313541986e-05,2.870647222152911e-05,0.000579328159801662,-77.32206726074219,-289029.65625,215063.96875,73962.53125,-337260.59375,-1239.357421875,-51380.8125,-8384.9775390625,-31717.150390625,-153105.109375,-43068.2421875,-18943.1796875,48866.71875,9577.5791015625,7776.1357421875,-7996.0986328125,10104.65234375,11786.30078125,13842.912109375,17509.1640625,6174.62841796875,2876.00048828125,-6753.5224609375,-30814.681640625,-12461.955078125,-399.7056884765625,-16290.2802734375,-4078.16064453125,-528.900146484375,-14249.083984375,-8266.712890625,-12602.0712890625,3981.06591796875,1306.852783203125,-3780.0517578125,-11650.2060546875,-4772.2421875,-878.323974609375,123.03369140625,-3075.9697265625,10417.154296875,-2.1160764694213867,-0.9814126491546631,0.29596370458602905,-0.4575241208076477,0.015373051166534424,-0.20344993472099304,-0.02366058900952339,0.11227558553218842,0.0445079542696476,0.1321660280227661
1_0,0.003009963780641556,-5.3768602811032906e-05,0.00022303401783574373,1019.5882568359375,5.7506920711603016e-05,0.0030501442961394787,-0.00011377658665878698,607.0302734375,-4.300787259126082e-05,2.9179245757404715e-05,0.0005778741906397045,-77.31409454345703,-272770.15625,211211.890625,73893.1015625,-326676.78125,1273.4072265625,-47591.82421875,-8078.8935546875,-29500.4375,-148714.75,-41964.64453125,-18697.12890625,48933.1328125,8832.4990234375,7451.3359375,-7183.7353515625,9496.2626953125,11876.595703125,13894.50390625,17314.25,6174.23779296875,2883.67138671875,-6752.8076171875,-30201.251953125,-12136.4609375,-380.8170471191406,-15873.1982421875,-4301.845703125,-481.65093994140625,-14017.1396484375,-8177.6318359375,-12262.5244140625,3985.848388671875,1060.192138671875,-3556.068603515625,-11403.4697265625,-4855.38671875,-987.1239624023438,184.31211853027344,-3137.827880859375,10291.23828125,-2.0230183601379395,-0.9782992005348206,0.2965867519378662,-0.45526379346847534,0.016408590599894524,-0.19968873262405396,-0.025721779093146324,0.11657509207725525,0.04340558126568794,0.13142356276512146
2_0,0.003012728178873658,-5.8172288845526055e-05,0.0002236121945315972,1019.9270629882812,6.0549125919351354e-05,0.0030513417441397905,-0.00010470339475432411,605.9471435546875,-4.306731352698989e-05,2.7462549041956663e-05,0.0005790572031401098,-77.31765747070312,-277806.125,213478.734375,76568.7265625,-319461.78125,3966.290283203125,-47758.0078125,-9384.85546875,-28121.693359375,-147067.234375,-41429.9921875,-18285.787109375,48014.1953125,9000.5732421875,7977.21875,-7893.8076171875,10162.9169921875,12368.6240234375,14447.4541015625,16905.283203125,6955.68212890625,2811.78564453125,-6784.79443359375,-30100.46875,-12187.9501953125,229.751220703125,-15886.630859375,-4192.42041015625,-492.1010437011719,-14055.3271484375,-8037.12939453125,-12139.021484375,3755.392333984375,986.99951171875,-3802.15966796875,-11148.853515625,-4755.74755859375,-989.2186279296875,211.21266174316406,-3289.360107421875,10362.4541015625,-1.9728432893753052,-0.9886245131492615,0.31094232201576233,-0.4615743160247803,0.014394218102097511,-0.19881360232830048,-0.03586854040622711,0.11883454769849777,0.04322390258312225,0.13413548469543457
3_0,0.003020585747435689,-5.9853009588550776e-05,0.00022097436885815114,1020.12841796875,6.295605999184772e-05,0.003058382775634527,-0.00010994918557116762,606.2954711914062,-4.2528958147158846e-05,2.8116408429923467e-05,0.0005803933017887175,-77.29700469970703,-282701.59375,206492.53125,80006.671875,-308976.875,5561.53759765625,-45693.640625,-10546.7509765625,-26560.22265625,-142067.796875,-39485.76171875,-16485.560546875,46855.84765625,8394.6083984375,7569.78759765625,-7937.26220703125,10174.3203125,11634.806640625,14625.92578125,16140.1650390625,7283.62646484375,2765.76318359375,-6850.31005859375,-29628.880859375,-12359.2802734375,18.25242042541504,-15348.55859375,-4341.05126953125,-481.1778259277344,-13991.6162109375,-7878.55224609375,-11858.537109375,3699.550048828125,885.8526000976562,-3595.314208984375,-10951.611328125,-4858.94482421875,-958.2771606445312,359.7339172363281,-3348.064453125,10223.541015625,-1.8997433185577393,-1.0007483959197998,0.31949615478515625,-0.4460887610912323,0.014601987786591053,-0.19860251247882843,-0.038564834743738174,0.12494439631700516,0.0428956001996994,0.1350731998682022
4_0,0.0030250477138906717,-5.9147791034774855e-05,0.00022776761034037918,1019.9312133789062,6.27347471890971e-05,0.0030590263195335865,-0.0001273649832000956,607.771484375,-4.337234713602811e-05,3.139529508189298e-05,0.0005799614591524005,-77.34127044677734,-282441.90625,215550.46875,78854.234375,-302287.28125,6690.86181640625,-45949.46484375,-10571.7724609375,-26620.46484375,-137999.390625,-37366.515625,-14524.5908203125,48509.96875,10046.9453125,7131.30078125,-9641.958984375,11867.2685546875,12132.5859375,15798.9462890625,15783.4150390625,9904.12109375,3237.0185546875,-6538.6474609375,-29963.9765625,-12985.7392578125,544.8104248046875,-15608.01171875,-3931.87548828125,-771.7587280273438,-13888.2890625,-7850.19287109375,-11773.1640625,3092.70361328125,919.4376831054688,-4760.677734375,-10930.248046875,-4564.51611328125,-938.64306640625,356.949462890625,-3973.655517578125,10543.759765625,-1.8609707355499268,-1.0445705652236938,0.31400594115257263,-0.4354459345340729,0.01907132938504219,-0.1866351217031479,-0.048078689724206924,0.1246577724814415,0.043200939893722534,0.14678287506103516
5_0,0.003030909923836589,-6.722081161569804e-05,0.00023897980281617492,1019.9031982421875,6.977345765335485e-05,0.003061468480154872,-0.00012909286306239665,607.8184204101562,-4.5067976316204295e-05,3.2079620723379776e-05,0.0005818406352773309,-77.34242248535156,-291207.78125,215684.53125,81955.5859375,-301440.03125,7724.47607421875,-44109.36328125,-13900.6064453125,-25184.322265625,-138484.703125,-36445.81640625,-13192.8232421875,48689.95703125,10402.29296875,7484.79345703125,-10981.970703125,12494.064453125,12290.5068359375,15923.2138671875,15023.3837890625,10628.021484375,3058.392333984375,-6358.25439453125,-30270.51171875,-13491.9326171875,527.5829467773438,-15977.6298828125,-3760.506103515625,-906.5297241210938,-13852.423828125,-7950.90771484375,-11773.0966796875,2850.134521484375,951.1681518554688,-5076.00390625,-10882.8662109375,-4453.8193359375,-918.880615234375,365.3946228027344,-4029.836669921875,10685.9296875,-1.856055736541748,-1.03744637966156,0.3224312365055084,-0.44572776556015015,0.018222495913505554,-0.18916212022304535,-0.055467501282691956,0.1260523647069931,0.04460678994655609,0.14836615324020386
6_0,0.003031859640032053,-6.855498941149563e-05,0.00025158337666653097,1020.4688110351562,7.038289913907647e-05,0.0030603138729929924,-0.00012070034426869825,606.8952026367188,-4.75941487820819e-05,3.0865423468640074e-05,0.0005824288818985224,-77.33959197998047,-292301.5625,221380.140625,82979.0859375,-309202.875,7575.49755859375,-44062.8828125,-15526.7529296875,-24728.478515625,-138577.609375,-36506.8203125,-11276.84375,49874.59375,9382.2333984375,7705.3466796875,-10746.7080078125,12065.3193359375,11645.07421875,15786.09375,15361.470703125,10717.298828125,3181.11083984375,-6207.3076171875,-31207.595703125,-13217.2734375,-274.3582458496094,-15913.4765625,-3731.565185546875,-1304.157470703125,-13905.029296875,-8247.888671875,-11861.875,2903.9716796875,1244.003173828125,-5144.66455078125,-10975.0546875,-4312.8916015625,-914.4067993164062,224.08958435058594,-3972.700927734375,10819.9912109375,-1.8741445541381836,-1.0530314445495605,0.32702040672302246,-0.45884189009666443,0.0165849756449461,-0.18230047821998596,-0.05172411724925041,0.13339121639728546,0.04651601240038872,0.15465201437473297
7_0,0.003032716689631343,-7.111220475053415e-05,0.0002649726520758122,1021.649169921875,7.437074964400381e-05,0.003061868716031313,-0.00012603240611497313,607.17626953125,-5.0321923481533304e-05,3.188486516592093e-05,0.0005826696287840605,-77.34363555908203,-294091.625,219335.03125,84298.0625,-303015.28125,9069.8662109375,-41443.91796875,-15663.5712890625,-24228.8046875,-133880.0,-36129.04296875,-10707.6826171875,48406.453125,9634.7744140625,7798.126953125,-9628.28515625,11801.2080078125,11608.4833984375,16111.2177734375,15113.8984375,10075.2119140625,3352.621826171875,-6295.57275390625,-30619.919921875,-12905.0185546875,-500.6931457519531,-15350.98046875,-3861.4404296875,-1070.347412109375,-13833.7216796875,-8234.3203125,-11635.2578125,3018.6572265625,1056.8770751953125,-4784.0859375,-10775.142578125,-4443.18505859375,-849.8154296875,204.92112731933594,-3843.8271484375,10647.2373046875,-1.8015787601470947,-1.0941026210784912,0.3389255404472351,-0.4560473561286926,0.015509219840168953,-0.18517319858074188,-0.052311986684799194,0.14273938536643982,0.046082403510808945,0.15735991299152374
8_0,0.003032165579497814,-7.01617100276053e-05,0.0002730335691012442,1023.831298828125,7.256992830662057e-05,0.0030635702423751354,-0.00011517655366333202,606.0531616210938,-5.1913044444518164e-05,2.986309482366778e-05,0.0005836240598000586,-77.33580017089844,-287494.0,216204.28125,81230.0859375,-298880.5,10767.810546875,-40683.8203125,-14903.7568359375,-24145.91015625,-133810.71875,-37957.08984375,-12080.564453125,46250.6875,9129.6162109375,7836.9052734375,-8427.2314453125,11097.3125,11573.1171875,16216.9638671875,15815.8681640625,8849.4404296875,3733.7080078125,-6469.07177734375,-30423.87109375,-12139.701171875,-561.9030151367188,-15053.267578125,-4125.6015625,-874.089111328125,-13958.115234375,-8400.443359375,-11623.802734375,3384.302978515625,954.11572265625,-4383.5283203125,-10619.07421875,-4541.71337890625,-768.974609375,174.88999938964844,-3584.740234375,10491.72265625,-1.7847493886947632,-1.0806289911270142,0.3566844165325165,-0.4718310534954071,0.011769456788897514,-0.18933847546577454,-0.04674118757247925,0.14569297432899475,0.045735809952020645,0.15338930487632751
9_0,0.003030327381566167,-6.988886889303103e-05,0.00028170034056529403,1026.589111328125,7.227109017549083e-05,0.003063302021473646,-0.00011801991786342114,606.1781616210938,-5.398774010245688e-05,3.0005016014911234e-05,0.0005835291231051087,-77.35799407958984,-280557.59375,221354.984375,76626.546875,-289537.6875,10912.4453125,-43879.75,-11473.4345703125,-25254.3984375,-129499.4140625,-36641.97265625,-12770.4345703125,45568.1328125,9982.5908203125,7254.3974609375,-8431.0615234375,11935.62890625,11557.0283203125,17192.1484375,16465.982421875,10159.521484375,4272.47802734375,-6568.2353515625,-30244.6875,-12035.0712890625,40.096927642822266,-14739.5986328125,-4084.846923828125,-844.9945678710938,-14021.3046875,-8179.95947265625,-11446.501953125,3169.0927734375,901.6671752929688,-4929.6328125,-10497.6767578125,-4475.36083984375,-707.0328369140625,224.7372283935547,-4042.888427734375,10597.85546875,-1.7577818632125854,-1.1241117715835571,0.3600537180900574,-0.4473164975643158,0.014719555154442787,-0.17909371852874756,-0.046650901436805725,0.14058925211429596,0.044004540890455246,0.16054736077785492
